county,make,month,model_year,vehicle_count
Benton,CHEVROLET,7,2012,9
Benton,CHEVROLET,7,2013,14
Benton,CHEVROLET,7,2014,10
Benton,CHEVROLET,7,2015,7
Benton,CHEVROLET,7,2016,4
Benton,CHEVROLET,7,2017,22
Benton,CHEVROLET,7,2018,1
Benton,CHEVROLET,7,2019,4
Benton,CHEVROLET,8,2012,10
Benton,CHEVROLET,8,2013,4
Benton,CHEVROLET,8,2014,21
Benton,CHEVROLET,8,2015,7
Benton,CHEVROLET,8,2016,1
Benton,CHEVROLET,8,2017,28
Benton,CHEVROLET,8,2018,2
Benton,CHEVROLET,8,2019,10
Benton,CHEVROLET,9,2012,17
Benton,CHEVROLET,9,2013,4
Benton,CHEVROLET,9,2014,5
Benton,CHEVROLET,9,2015,3
Benton,CHEVROLET,9,2016,4
Benton,CHEVROLET,9,2017,17
Benton,CHEVROLET,9,2018,2
Benton,CHEVROLET,9,2019,7
Benton,CHEVROLET,9,2020,2
Benton,CHEVROLET,10,2012,22
Benton,CHEVROLET,10,2013,11
Benton,CHEVROLET,10,2014,11
Benton,CHEVROLET,10,2015,12
Benton,CHEVROLET,10,2016,4
Benton,CHEVROLET,10,2017,24
Benton,CHEVROLET,10,2019,9
Benton,CHEVROLET,10,2020,2
Benton,CHEVROLET,11,2012,15
Benton,CHEVROLET,11,2013,21
Benton,CHEVROLET,11,2014,6
Benton,CHEVROLET,11,2015,8
Benton,CHEVROLET,11,2016,7
Benton,CHEVROLET,11,2017,34
Benton,CHEVROLET,11,2018,3
Benton,CHEVROLET,11,2019,7
Benton,CHEVROLET,11,2020,6
Benton,CHEVROLET,12,2012,3
Benton,CHEVROLET,12,2013,31
Benton,CHEVROLET,12,2014,7
Benton,CHEVROLET,12,2015,6
Benton,CHEVROLET,12,2016,4
Benton,CHEVROLET,12,2017,39
Benton,CHEVROLET,12,2018,6
Benton,CHEVROLET,12,2019,2
Benton,CHEVROLET,12,2020,4
Benton,CHRYSLER,1,2018,5
Benton,CHRYSLER,2,2018,1
Benton,CHRYSLER,2,2020,2
Benton,CHRYSLER,3,2018,3
Benton,CHRYSLER,3,2019,2
Benton,CHRYSLER,3,2020,2
Benton,CHRYSLER,3,2021,4
Benton,CHRYSLER,4,2018,7
Benton,CHRYSLER,4,2021,6
Benton,CHRYSLER,5,2018,6
Benton,CHRYSLER,5,2019,2
Benton,CHRYSLER,5,2021,2
Benton,CHRYSLER,6,2019,1
Benton,CHRYSLER,7,2018,1
Benton,CHRYSLER,7,2019,4
Benton,CHRYSLER,8,2018,3
Benton,CHRYSLER,8,2020,2
Benton,CHRYSLER,9,2017,1
Benton,CHRYSLER,9,2018,9
Benton,CHRYSLER,9,2020,2
Benton,CHRYSLER,10,2018,4
Benton,CHRYSLER,11,2017,1
Benton,CHRYSLER,11,2018,9
Benton,CHRYSLER,11,2020,6
Benton,CHRYSLER,12,2017,8
Benton,CHRYSLER,12,2018,9
Benton,CHRYSLER,12,2020,1
Benton,FIAT,1,2017,1
Benton,FIAT,3,2017,2
Benton,FIAT,4,2016,2
Benton,FIAT,10,2013,2
Benton,FIAT,11,2017,2
Benton,FISKER,4,2012,2
Benton,FORD,1,2013,18
Benton,FORD,1,2014,3
Benton,FORD,1,2015,3
Benton,FORD,1,2016,21
Benton,FORD,1,2017,5
Benton,FORD,1,2018,2
Benton,FORD,1,2019,1
Benton,FORD,2,2013,16
Benton,FORD,2,2014,6
Benton,FORD,2,2015,8
Benton,FORD,2,2016,7
Benton,FORD,2,2017,12
Benton,FORD,3,2013,19
Benton,FORD,3,2014,9
Benton,FORD,3,2015,9
Benton,FORD,3,2016,16
Benton,FORD,3,2017,9
Benton,FORD,3,2019,3
Benton,FORD,3,2021,6
Benton,FORD,4,2013,33
Benton,FORD,4,2014,8
Benton,FORD,4,2015,6
Benton,FORD,4,2016,17
Benton,FORD,4,2018,2
Benton,FORD,4,2021,4
Benton,FORD,5,2013,19
Benton,FORD,5,2014,7
Benton,FORD,5,2015,2
Benton,FORD,5,2016,9
Benton,FORD,5,2017,1
Benton,FORD,5,2018,2
Benton,FORD,5,2019,1
Benton,FORD,5,2020,2
Benton,FORD,5,2021,2
Benton,FORD,6,2013,20
Benton,FORD,6,2014,4
Benton,FORD,6,2015,3
Benton,FORD,6,2016,8
Benton,FORD,6,2017,4
Benton,FORD,6,2018,4
Benton,FORD,7,2013,27
Benton,FORD,7,2014,4
Benton,FORD,7,2015,5
Benton,FORD,7,2016,7
Benton,FORD,7,2017,7
Benton,FORD,8,2013,26
Benton,FORD,8,2014,9
Benton,FORD,8,2015,6
Benton,FORD,8,2016,9
Benton,FORD,8,2017,6
Benton,FORD,8,2019,2
Benton,FORD,9,2013,13
Benton,FORD,9,2014,11
Benton,FORD,9,2015,18
Benton,FORD,9,2016,14
Benton,FORD,9,2017,8
Benton,FORD,9,2018,3
Benton,FORD,9,2019,3
Benton,FORD,10,2013,19
Benton,FORD,10,2014,4
Benton,FORD,10,2015,4
Benton,FORD,10,2016,9
Benton,FORD,10,2017,3
Benton,FORD,10,2018,1
Benton,FORD,10,2019,1
Benton,FORD,11,2013,6
Benton,FORD,11,2014,10
Benton,FORD,11,2015,5
Benton,FORD,11,2016,12
Benton,FORD,11,2017,5
Benton,FORD,11,2019,4
Benton,FORD,12,2013,14
Benton,FORD,12,2014,12
Benton,FORD,12,2015,8
Benton,FORD,12,2016,14
Benton,FORD,12,2017,17
Benton,FORD,12,2019,3
Benton,FORD,12,2020,2
Benton,HONDA,1,2018,10
Benton,HONDA,2,2018,1
Benton,HONDA,3,2018,5
Benton,HONDA,4,2018,9
Benton,HONDA,5,2018,16
Benton,HONDA,6,2018,2
Benton,HONDA,7,2018,5
Benton,HONDA,8,2018,2
Benton,HONDA,9,2018,2
Benton,HONDA,10,2018,10
Benton,HONDA,10,2019,1
Benton,HONDA,11,2018,6
Benton,HONDA,11,2019,1
Benton,HONDA,12,2018,9
Benton,HYUNDAI,3,2017,2
Benton,HYUNDAI,3,2021,2
Benton,HYUNDAI,4,2016,7
Benton,HYUNDAI,4,2018,3
Benton,HYUNDAI,4,2021,2
Benton,HYUNDAI,5,2016,2
Benton,HYUNDAI,5,2018,2
Benton,HYUNDAI,5,2019,4
Benton,HYUNDAI,6,2016,1
Benton,HYUNDAI,7,2016,7
Benton,HYUNDAI,8,2016,5
Benton,HYUNDAI,8,2019,2
Benton,HYUNDAI,9,2016,6
Benton,HYUNDAI,10,2016,9
Benton,HYUNDAI,11,2019,1
Benton,HYUNDAI,12,2016,9
Benton,JAGUAR,5,2020,2
Benton,JAGUAR,9,2019,2
Benton,JAGUAR,10,2019,3
Benton,KIA,1,2017,7
Benton,KIA,1,2019,2
Benton,KIA,2,2017,6
Benton,KIA,3,2017,13
Benton,KIA,3,2019,1
Benton,KIA,4,2017,12
Benton,KIA,4,2019,2
Benton,KIA,5,2017,2
Benton,KIA,5,2018,1
Benton,KIA,5,2019,7
Benton,KIA,6,2016,5
Benton,KIA,6,2017,9
Benton,KIA,6,2019,2
Benton,KIA,7,2016,4
Benton,KIA,7,2017,4
Benton,KIA,7,2018,4
Benton,KIA,8,2016,2
Benton,KIA,8,2017,3
Benton,KIA,8,2018,3
Benton,KIA,9,2016,3
Benton,KIA,9,2017,5
Benton,KIA,9,2019,1
Benton,KIA,10,2017,11
Benton,KIA,10,2019,1
Benton,KIA,11,2016,2
Benton,KIA,11,2017,1
Benton,KIA,12,2017,3
Benton,KIA,12,2019,1
Benton,LINCOLN,3,2020,3
Benton,MINI,9,2019,2
Benton,MINI,10,2018,2
Benton,MINI,10,2019,1
Benton,MITSUBISHI,1,2018,5
Benton,MITSUBISHI,2,2018,2
Benton,MITSUBISHI,2,2019,3
Benton,MITSUBISHI,3,2012,3
Benton,MITSUBISHI,3,2014,5
Benton,MITSUBISHI,4,2012,5
Benton,MITSUBISHI,4,2014,3
Benton,MITSUBISHI,5,2012,1
Benton,MITSUBISHI,7,2014,2
Benton,MITSUBISHI,7,2018,2
Benton,MITSUBISHI,8,2014,4
Benton,MITSUBISHI,8,2016,2
Benton,MITSUBISHI,9,2014,2
Benton,MITSUBISHI,9,2016,2
Benton,MITSUBISHI,10,2016,2
Benton,MITSUBISHI,10,2020,2
Benton,MITSUBISHI,11,2018,3
Benton,MITSUBISHI,11,2019,3
Benton,MITSUBISHI,11,2020,2
Benton,MITSUBISHI,12,2018,4
Benton,MITSUBISHI,12,2019,2
Benton,MITSUBISHI,12,2020,2
Benton,NISSAN,1,2011,21
Benton,NISSAN,1,2012,17
Benton,NISSAN,1,2013,13
Benton,NISSAN,1,2014,4
Benton,NISSAN,1,2015,7
Benton,NISSAN,1,2016,5
Benton,NISSAN,1,2018,6
Benton,NISSAN,1,2019,2
Benton,NISSAN,2,2011,18
Benton,NISSAN,2,2012,19
Benton,NISSAN,2,2013,12
Benton,NISSAN,2,2014,8
Benton,NISSAN,2,2015,12
Benton,NISSAN,2,2016,5
Benton,NISSAN,2,2018,3
Benton,NISSAN,2,2019,2
Benton,NISSAN,2,2020,2
Benton,NISSAN,3,2011,13
Benton,NISSAN,3,2012,18
Benton,NISSAN,3,2013,24
Benton,NISSAN,3,2014,2
Benton,NISSAN,3,2015,9
Benton,NISSAN,3,2016,14
Benton,NISSAN,3,2017,1
Benton,NISSAN,3,2018,3
Benton,NISSAN,3,2019,2
Benton,NISSAN,4,2011,8
Benton,NISSAN,4,2012,17
Benton,NISSAN,4,2013,21
Benton,NISSAN,4,2014,3
Benton,NISSAN,4,2015,4
Benton,NISSAN,4,2016,11
Benton,NISSAN,4,2018,6
Benton,NISSAN,4,2019,2
Benton,NISSAN,4,2020,4
Benton,NISSAN,5,2011,25
Benton,NISSAN,5,2012,12
Benton,NISSAN,5,2013,17
Benton,NISSAN,5,2014,6
Benton,NISSAN,5,2015,5
Benton,NISSAN,5,2016,14
Benton,NISSAN,5,2018,8
Benton,NISSAN,5,2019,2
Benton,NISSAN,6,2011,17
Benton,NISSAN,6,2012,8
Benton,NISSAN,6,2013,21
Benton,NISSAN,6,2014,6
Benton,NISSAN,6,2015,11
Benton,NISSAN,6,2016,7
Benton,NISSAN,6,2017,1
Benton,NISSAN,6,2018,10
Benton,NISSAN,6,2019,1
Benton,NISSAN,7,2011,19
Benton,NISSAN,7,2012,19
Benton,NISSAN,7,2013,31
Benton,NISSAN,7,2014,7
Benton,NISSAN,7,2015,10
Benton,NISSAN,7,2016,6
Benton,NISSAN,7,2017,4
Benton,NISSAN,7,2018,3
Benton,NISSAN,7,2020,2
Benton,NISSAN,8,2011,15
Benton,NISSAN,8,2012,23
Benton,NISSAN,8,2013,24
Benton,NISSAN,8,2014,7
Benton,NISSAN,8,2015,17
Benton,NISSAN,8,2016,10
Benton,NISSAN,8,2017,9
Benton,NISSAN,8,2018,1
Benton,NISSAN,9,2011,9
Benton,NISSAN,9,2012,24
Benton,NISSAN,9,2013,22
Benton,NISSAN,9,2014,4
Benton,NISSAN,9,2015,12
Benton,NISSAN,9,2016,6
Benton,NISSAN,9,2017,5
Benton,NISSAN,9,2019,2
Benton,NISSAN,10,2011,3
Benton,NISSAN,10,2012,16
Benton,NISSAN,10,2013,19
Benton,NISSAN,10,2014,16
Benton,NISSAN,10,2015,12
Benton,NISSAN,10,2016,4
Benton,NISSAN,10,2017,4
Benton,NISSAN,10,2019,1
Benton,NISSAN,11,2011,12
Benton,NISSAN,11,2012,17
Benton,NISSAN,11,2013,9
Benton,NISSAN,11,2014,22
Benton,NISSAN,11,2015,12
Benton,NISSAN,11,2016,4
Benton,NISSAN,11,2017,2
Benton,NISSAN,11,2018,3
Benton,NISSAN,11,2019,1
Benton,NISSAN,12,2011,17
Benton,NISSAN,12,2012,17
Benton,NISSAN,12,2013,13
Benton,NISSAN,12,2014,5
Benton,NISSAN,12,2015,16
Benton,NISSAN,12,2016,8
Benton,NISSAN,12,2018,2
Benton,NISSAN,12,2019,5
Benton,NISSAN,12,2020,2
Benton,PORSCHE,1,2016,1
Benton,PORSCHE,2,2016,3
Benton,PORSCHE,3,2016,2
Benton,PORSCHE,6,2018,2
Benton,PORSCHE,9,2020,2
Benton,PORSCHE,10,2019,2
Benton,SMART,3,2013,4
Benton,SMART,3,2014,1
Benton,SMART,4,2013,2
Benton,SMART,4,2014,2
Benton,SMART,8,2013,2
Benton,SMART,9,2013,2
Benton,SUBARU,1,2019,2
Benton,SUBARU,4,2019,2
Benton,SUBARU,5,2019,6
Benton,SUBARU,12,2019,1
Benton,TESLA,1,2012,2
Benton,TESLA,1,2013,1
Benton,TESLA,1,2014,9
Benton,TESLA,1,2015,1
Benton,TESLA,1,2016,8
Benton,TESLA,1,2017,7
Benton,TESLA,1,2018,23
Benton,TESLA,1,2019,4
Benton,TESLA,1,2020,36
Benton,TESLA,1,2021,20
Benton,TESLA,2,2010,2
Benton,TESLA,2,2012,1
Benton,TESLA,2,2013,1
Benton,TESLA,2,2015,10
Benton,TESLA,2,2016,3
Benton,TESLA,2,2017,6
Benton,TESLA,2,2018,14
Benton,TESLA,2,2019,4
Benton,TESLA,2,2020,6
Benton,TESLA,2,2021,6
Benton,TESLA,3,2010,2
Benton,TESLA,3,2013,2
Benton,TESLA,3,2014,2
Benton,TESLA,3,2015,9
Benton,TESLA,3,2016,7
Benton,TESLA,3,2017,3
Benton,TESLA,3,2018,29
Benton,TESLA,3,2019,7
Benton,TESLA,3,2020,12
Benton,TESLA,3,2021,4
Benton,TESLA,4,2013,5
Benton,TESLA,4,2014,8
Benton,TESLA,4,2015,18
Benton,TESLA,4,2016,3
Benton,TESLA,4,2017,6
Benton,TESLA,4,2018,31
Benton,TESLA,4,2019,18
Benton,TESLA,4,2020,10
Benton,TESLA,4,2021,34
Benton,TESLA,5,2013,24
Benton,TESLA,5,2014,10
Benton,TESLA,5,2015,17
Benton,TESLA,5,2016,4
Benton,TESLA,5,2017,8
Benton,TESLA,5,2018,17
Benton,TESLA,5,2019,15
Benton,TESLA,5,2020,17
Benton,TESLA,5,2021,6
Benton,TESLA,6,2013,10
Benton,TESLA,6,2014,5
Benton,TESLA,6,2015,5
Benton,TESLA,6,2016,2
Benton,TESLA,6,2017,1
Benton,TESLA,6,2018,6
Benton,TESLA,6,2019,9
Benton,TESLA,6,2020,10
Benton,TESLA,7,2012,2
Benton,TESLA,7,2013,4
Benton,TESLA,7,2014,3
Benton,TESLA,7,2015,5
Benton,TESLA,7,2017,10
Benton,TESLA,7,2018,4
Benton,TESLA,7,2019,18
Benton,TESLA,7,2020,36
Benton,TESLA,8,2014,3
Benton,TESLA,8,2015,3
Benton,TESLA,8,2016,6
Benton,TESLA,8,2017,4
Benton,TESLA,8,2018,16
Benton,TESLA,8,2019,15
Benton,TESLA,8,2020,8
Benton,TESLA,9,2012,4
Benton,TESLA,9,2013,1
Benton,TESLA,9,2014,12
Benton,TESLA,9,2015,3
Benton,TESLA,9,2016,7
Benton,TESLA,9,2017,6
Benton,TESLA,9,2018,30
Benton,TESLA,9,2019,28
Benton,TESLA,9,2020,10
Benton,TESLA,10,2012,2
Benton,TESLA,10,2014,7
Benton,TESLA,10,2015,6
Benton,TESLA,10,2016,12
Benton,TESLA,10,2017,6
Benton,TESLA,10,2018,27
Benton,TESLA,10,2019,35
Benton,TESLA,10,2020,19
Benton,TESLA,11,2012,1
Benton,TESLA,11,2014,6
Benton,TESLA,11,2016,3
Benton,TESLA,11,2017,3
Benton,TESLA,11,2018,51
Benton,TESLA,11,2019,5
Benton,TESLA,11,2020,37
Benton,TESLA,11,2021,6
Benton,TESLA,12,2012,6
Benton,TESLA,12,2014,4
Benton,TESLA,12,2015,2
Benton,TESLA,12,2016,6
Benton,TESLA,12,2017,3
Benton,TESLA,12,2018,42
Benton,TESLA,12,2019,5
Benton,TESLA,12,2020,13
Benton,TESLA,12,2021,14
Benton,TOYOTA,1,2012,4
Benton,TOYOTA,1,2014,1
Benton,TOYOTA,1,2017,10
Benton,TOYOTA,1,2018,1
Benton,TOYOTA,1,2021,4
Benton,TOYOTA,2,2012,2
Benton,TOYOTA,2,2014,3
Benton,TOYOTA,2,2017,7
Benton,TOYOTA,2,2018,1
Benton,TOYOTA,2,2019,1
Benton,TOYOTA,2,2020,1
Benton,TOYOTA,3,2012,5
Benton,TOYOTA,3,2014,3
Benton,TOYOTA,3,2017,14
Benton,TOYOTA,3,2018,4
Benton,TOYOTA,3,2019,1
Benton,TOYOTA,3,2020,2
Benton,TOYOTA,3,2021,2
Benton,TOYOTA,4,2012,12
Benton,TOYOTA,4,2014,2
Benton,TOYOTA,4,2017,7
Benton,TOYOTA,4,2018,2
Benton,TOYOTA,4,2019,3
Benton,TOYOTA,4,2021,4
Benton,TOYOTA,5,2012,7
Benton,TOYOTA,5,2017,6
Benton,TOYOTA,5,2018,1
Benton,TOYOTA,5,2019,1
Benton,TOYOTA,5,2020,3
Benton,TOYOTA,5,2021,8
Benton,TOYOTA,6,2012,2
Benton,TOYOTA,6,2013,1
Benton,TOYOTA,6,2017,8
Benton,TOYOTA,6,2019,4
Benton,TOYOTA,7,2012,8
Benton,TOYOTA,7,2014,6
Benton,TOYOTA,7,2017,5
Benton,TOYOTA,7,2018,3
Benton,TOYOTA,8,2012,9
Benton,TOYOTA,8,2013,2
Benton,TOYOTA,8,2014,1
Benton,TOYOTA,8,2017,1
Benton,TOYOTA,8,2018,13
Benton,TOYOTA,8,2019,1
Benton,TOYOTA,8,2020,1
Benton,TOYOTA,9,2012,6
Benton,TOYOTA,9,2017,11
Benton,TOYOTA,9,2018,7
Benton,TOYOTA,9,2020,7
Benton,TOYOTA,10,2012,4
Benton,TOYOTA,10,2014,1
Benton,TOYOTA,10,2017,2
Benton,TOYOTA,10,2018,14
Benton,TOYOTA,10,2020,5
Benton,TOYOTA,11,2012,6
Benton,TOYOTA,11,2014,2
Benton,TOYOTA,11,2017,9
Benton,TOYOTA,11,2018,5
Benton,TOYOTA,11,2020,4
Benton,TOYOTA,11,2021,2
Benton,TOYOTA,12,2012,1
Benton,TOYOTA,12,2017,6
Benton,TOYOTA,12,2018,4
Benton,VOLKSWAGEN,3,2016,2
Benton,VOLKSWAGEN,4,2019,2
Benton,VOLKSWAGEN,5,2021,4
Benton,VOLKSWAGEN,6,2015,7
Benton,VOLKSWAGEN,8,2019,3
Benton,VOLKSWAGEN,12,2019,3
Benton,VOLVO,1,2019,2
Benton,VOLVO,7,2016,1
Benton,VOLVO,8,2017,1
Benton,VOLVO,9,2017,2
Benton,VOLVO,10,2016,3
Benton,VOLVO,10,2017,1
Benton,VOLVO,10,2019,2
Benton,VOLVO,11,2016,2
Benton,VOLVO,11,2017,3
Benton,VOLVO,11,2018,2
Benton,VOLVO,11,2019,2
Benton,VOLVO,12,2017,1
Benton,VOLVO,12,2018,2
Clark,AUDI,1,2017,13
Clark,AUDI,1,2019,7
Clark,AUDI,1,2021,2
Clark,AUDI,2,2016,1
Clark,AUDI,2,2017,1
Clark,AUDI,2,2019,3
Clark,AUDI,2,2020,3
Clark,AUDI,2,2021,12
Clark,AUDI,3,2016,3
Clark,AUDI,3,2017,2
Clark,AUDI,3,2018,5
Clark,AUDI,3,2019,8
Clark,AUDI,3,2020,8
Clark,AUDI,3,2021,2
Clark,AUDI,4,2016,5
Clark,AUDI,4,2017,2
Clark,AUDI,4,2018,5
Clark,AUDI,4,2019,9
Clark,AUDI,4,2020,4
Clark,AUDI,4,2021,14
Clark,AUDI,5,2016,2
Clark,AUDI,5,2018,2
Clark,AUDI,5,2019,7
Clark,AUDI,5,2020,1
Clark,AUDI,5,2021,8
Clark,AUDI,6,2016,3
Clark,AUDI,6,2018,2
Clark,AUDI,6,2019,2
Clark,AUDI,6,2020,4
Clark,AUDI,7,2017,2
Clark,AUDI,7,2018,6
Clark,AUDI,7,2019,7
Clark,AUDI,8,2016,5
Clark,AUDI,8,2019,7
Clark,AUDI,8,2020,4
Clark,AUDI,9,2016,5
Clark,AUDI,9,2018,6
Clark,AUDI,9,2019,5
Clark,AUDI,10,2018,2
Clark,AUDI,10,2019,6
Clark,AUDI,11,2018,1
Clark,AUDI,11,2019,7
Clark,AUDI,11,2020,4
Clark,AUDI,12,2016,3
Clark,AUDI,12,2017,4
Clark,AUDI,12,2019,3
Clark,AUDI,12,2021,4
Clark,BMW,1,2014,17
Clark,BMW,1,2015,18
Clark,BMW,1,2016,15
Clark,BMW,1,2017,34
Clark,BMW,1,2018,12
Clark,BMW,1,2019,9
Clark,BMW,1,2021,2
Clark,BMW,2,2014,9
Clark,BMW,2,2015,15
Clark,BMW,2,2016,4
Clark,BMW,2,2017,15
Clark,BMW,2,2018,11
Clark,BMW,2,2019,1
Clark,BMW,2,2021,4
Clark,BMW,3,2014,22
Clark,BMW,3,2015,18
Clark,BMW,3,2016,14
Clark,BMW,3,2017,30
Clark,BMW,3,2018,14
Clark,BMW,3,2019,3
Clark,BMW,3,2021,4
Clark,BMW,4,2014,5
Clark,BMW,4,2015,14
Clark,BMW,4,2016,20
Clark,BMW,4,2017,29
Clark,BMW,4,2018,15
Clark,BMW,4,2019,3
Clark,BMW,4,2021,4
Clark,BMW,5,2014,10
Clark,BMW,5,2015,17
Clark,BMW,5,2016,14
Clark,BMW,5,2017,28
Clark,BMW,5,2018,9
Clark,BMW,5,2020,4
Clark,BMW,5,2021,4
Clark,BMW,6,2014,15
Clark,BMW,6,2015,14
Clark,BMW,6,2016,4
Clark,BMW,6,2017,13
Clark,BMW,6,2018,9
Clark,BMW,7,2014,17
Clark,BMW,7,2015,8
Clark,BMW,7,2016,9
Clark,BMW,7,2017,11
Clark,BMW,7,2018,8
Clark,BMW,7,2019,2
Clark,BMW,8,2014,23
Clark,BMW,8,2015,25
Clark,BMW,8,2016,34
Clark,BMW,8,2017,11
Clark,BMW,8,2018,15
Clark,BMW,8,2019,4
Clark,BMW,8,2020,2
Clark,BMW,9,2014,12
Clark,BMW,9,2015,12
Clark,BMW,9,2016,30
Clark,BMW,9,2017,11
Clark,BMW,9,2018,22
Clark,BMW,9,2019,14
Clark,BMW,9,2020,6
Clark,BMW,9,2021,2
Clark,BMW,10,2014,22
Clark,BMW,10,2015,20
Clark,BMW,10,2016,18
Clark,BMW,10,2017,12
Clark,BMW,10,2018,22
Clark,BMW,10,2019,6
Clark,BMW,10,2020,8
Clark,BMW,11,2014,10
Clark,BMW,11,2015,12
Clark,BMW,11,2016,6
Clark,BMW,11,2017,17
Clark,BMW,11,2018,21
Clark,BMW,11,2020,1
Clark,BMW,11,2021,4
Clark,BMW,12,2014,10
Clark,BMW,12,2015,13
Clark,BMW,12,2016,8
Clark,BMW,12,2017,26
Clark,BMW,12,2018,23
Clark,BMW,12,2019,7
Clark,CADILLAC,1,2014,6
Clark,CADILLAC,2,2014,2
Clark,CADILLAC,2,2016,5
Clark,CADILLAC,3,2014,6
Clark,CADILLAC,3,2016,2
Clark,CADILLAC,5,2014,1
Clark,CADILLAC,7,2014,5
Clark,CADILLAC,8,2014,1
Clark,CADILLAC,10,2014,3
Clark,CADILLAC,11,2014,1
Clark,CHEVROLET,1,2012,38
Clark,CHEVROLET,1,2013,49
Clark,CHEVROLET,1,2014,43
Clark,CHEVROLET,1,2015,18
Clark,CHEVROLET,1,2016,12
Clark,CHEVROLET,1,2017,94
